"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2056308115331809710","2026-05-18T09:37:13.000Z","4","❄️need account recovery assistance? ♡

Haiii, butuh bantuan pemulihan akun

• akun lupa password 
• unsuspend 
• hapus akun
• pemulihan akun
• lacak lokasi

Melayani:
Gmail, Instagram, Telegram, Facebook, TikTok, dan lainnya 

 Move🫰💞
🎀 ୨୧ https://t.co/95R0vvYYGi https://t.co/RCLQyupoG3","2056308115331809710","https://pbs.twimg.com/media/HIl5OksbEAAw9AI.jpg","","in","","4","1","0","https://x.com/milisfy/status/2056308115331809710","148635049","milisfy"
"2056774608356053032","2026-05-19T16:30:54.000Z","0","Ini tuh penipuan ga sih? Soalnya tadi ada kode otp masuk https://t.co/uiLlfFsPsh","2056774608356053032","https://pbs.twimg.com/media/HIshmg3acAALE-a.jpg","","in","","0","0","0","https://x.com/Mitaf_/status/2056774608356053032","1652254368","Mitaf_"
"2056801634781663511","2026-05-20T09:18:35.000Z","0","@urlavoca ya banyak faktor bu dok, kalau berkenan kasi info tentang: 
1. tipe HP &amp; OS
2. versi aplikasi
3. trouble waktu pake wifi / paket data / semuanya
4. pernah coba clear cache atau belum
5. pernah ada notif error nggak

insya Allah mau bantu tapi ga janji berhasil wkwk","2057028202594480398","","urlavoca","in","","0","1","0","https://x.com/helmyzzafa1611/status/2057028202594480398","1769673244792303617","helmyzzafa1611"
"2057032059881951667","2026-05-20T09:33:55.000Z","0","uny... mau tanya, kalo mau bayar tagihan ukt trus masukin nim pdhl udh bener tp kaya gini nih kenapa ya https://t.co/IpWc87zPQE","2057032059881951667","https://pbs.twimg.com/media/HIwLwYoaEAAQSPQ.jpg","","in","","0","1","0","https://x.com/UNY_Base/status/2057032059881951667","1324003254124998656","UNY_Base"
"2056915022476194160","2026-05-20T01:48:51.000Z","1","Tolong bantu aku lacak pemilik landing page ini, ayahku kena tipu 4 juta. Saldo atm dan uang hasil naik grabnya ludes sama sekali habis, bahkan di hari setelahnya dia sempat ngambil lagi 50 ribu (pdhl itu modal saldo ovo untuk ayahku nge-grab)

https://t.co/lF3vFza4fZ","2056915022476194160","","","in","","0","1","0","https://x.com/diaryofme77/status/2056915022476194160","1830809207475748864","diaryofme77"
"2056934016092364857","2026-05-20T09:47:03.000Z","0","@acha_aina Untuk pengembalian saldo tidak dapat kami pastikan, silakan dapat mengikuti informasi sebelumnya ya Ibu @acha_aina. 🙂 Tks ^Zain","2057035365803077730","","acha_aina","in","","0","0","0","https://x.com/HaloBCA/status/2057035365803077730","620977821","HaloBCA"
"2056904082263347649","2026-05-20T04:50:54.000Z","74","@KapudS640 di india klo g salah ada yg bikin video ilustrasikan pinjem hp utk minta kode otp lewat call,lupa teknis videony tpi intiny hp dipinjem utk nelpon utk scam bobol rekening.","2056960837861179575","","KapudS640","in","","0","0","10","https://x.com/RockyAlvarez10/status/2056960837861179575","1895308790","RockyAlvarez10"
"2055967471476314588","2026-05-17T16:07:28.000Z","0","@nawgoesucces @nawgoesucces Harap hati2 dgn pihak yg mengatasnamakan DANA, jangan pernah berikan PIN/OTP &amp; klik link yg tdk dikenal ya. Pastikan Kakak tidak memiliki langganan pada aplikasi DANA &amp; cek di akun terhubung di menu Me pada aplikasi. Thx -JN-(2)","2056043934137438263","","nawgoesucces","in","","0","0","0","https://x.com/danawallet/status/2056043934137438263","965871936545816577","danawallet"
"2054829696752513403","2026-05-14T22:43:38.000Z","0","@DoIdobp @DoIdobp Hi Kak, mohon maaf atas ketidaknyamanan yg Kakak rasakan terkait saldo yg belum kembali. Agar kami bantu lakukan pengecekan, Kakak dapat menghubungi kami dgn menginformasikan detail kendalanya secara lengkap melalui DM ya Kak. Thanks -NA-","2055056472434938294","","DoIdobp","in","","0","0","0","https://x.com/danawallet/status/2055056472434938294","965871936545816577","danawallet"
"2056898101017968930","2026-05-20T00:43:25.000Z","0","untuk melakukan:
📥download aplikasi/file (.apk | .pdf palsu) 🔗klik link mencurigakan
💰transfer uang ke rekening pribadi
🖥️meminta akses Share Screen","2056898555189801334","","pajaklimboto","in","","0","0","0","https://x.com/pajaklimboto/status/2056898555189801334","3177285468","pajaklimboto"
